OTUID	All	KO	OE	WT
ASV_1	4.087655	3.350460	3.757422	5.155082
ASV_2	3.8152	5.558035	2.601842	3.285722
ASV_3	2.55024	2.185090	2.340584	3.125044
ASV_4	2.140402	2.241395	1.637221	2.542591
ASV_6	1.647391	2.5792971	0.9900372	1.3728374
ASV_8	1.682259	1.160748	2.113906	1.772124
ASV_7	1.608312	1.542796	1.541521	1.740620
ASV_9	1.32294	1.250731	1.358131	1.359958
ASV_10	1.171698	1.7104776	0.8135600	0.9910573
ASV_11	1.059326	1.016038	1.027546	1.134396
ASV_13	1.020652	0.8903433	1.0701865	1.1014275
ASV_15	0.965427	1.0190087	0.9975576	0.8797156
ASV_14	0.953012	0.9602566	0.8173035	1.0814769
ASV_12	0.955727	0.6501082	1.2850937	0.9319798
ASV_16	0.884784	0.7284883	0.8386929	1.0871699
ASV_17	0.818969	1.1352386	0.5371338	0.7845347
ASV_18	0.788059	0.6361047	0.7271198	1.0009520
ASV_19	0.68702	0.7403852	0.6521806	0.6684931
ASV_20	0.66798	0.5843865	0.3250978	1.0944569
ASV_33	0.60229	0.4331189	0.6619629	0.7117868
ASV_28	0.587963	0.5654105	0.5349008	0.6635770
ASV_25	0.578217	0.6780124	0.4792401	0.5773981
ASV_21	0.572244	0.4856689	0.5126571	0.7184064
ASV_22	0.561092	0.6254525	0.5712235	0.4865986
ASV_24	0.536881	0.8521452	0.3545246	0.4039731
ASV_23	0.534602	0.7346678	0.3001442	0.5689927
ASV_26	0.544893	0.4320063	0.6040468	0.5986266
ASV_31	0.540309	0.4988984	0.5695263	0.5525037
ASV_29	0.511333	0.6147319	0.3682161	0.5510509
ASV_27	0.519779	0.5066316	0.5574535	0.4952517
ASV_30	0.498403	0.5177759	0.4940742	0.4833595
ASV_32	0.483516	0.4005057	0.5246654	0.5253777
ASV_34	0.478347	0.3206752	0.4423978	0.6719679
ASV_35	0.471847	0.4492314	0.4258816	0.5404283
ASV_36	0.467033	0.5287856	0.3750773	0.4972348
ASV_37	0.459957	0.3051735	0.4684841	0.6062145
ASV_43	0.460998	0.2361030	1.0168745	0.1300172
ASV_47	0.426823	0.5121302	0.3629716	0.4053664
ASV_38	0.42138	0.3690167	0.3338263	0.5612964
