OTU	Group
ASV_357	saliva
ASV_469	saliva
ASV_536	All
ASV_536	feces
ASV_611	All
ASV_611	plaque
ASV_788	All
ASV_788	feces
ASV_1006	All
ASV_1006	plaque
ASV_1006	saliva
ASV_126	saliva
ASV_147	saliva
ASV_159	plaque
ASV_187	feces
ASV_189	All
ASV_189	feces
ASV_207	All
ASV_207	saliva
ASV_272	All
ASV_272	saliva
ASV_353	saliva
ASV_396	All
ASV_396	feces
ASV_499	All
ASV_499	feces
ASV_580	plaque
ASV_682	saliva
ASV_738	All
ASV_738	feces
ASV_82	All
ASV_82	plaque
ASV_87	plaque
ASV_1078	All
ASV_1078	saliva
ASV_118	plaque
ASV_128	All
ASV_128	feces
ASV_199	All
ASV_199	plaque
ASV_262	All
ASV_262	saliva
ASV_341	saliva
ASV_374	All
ASV_374	feces
ASV_437	All
ASV_437	plaque
ASV_480	saliva
ASV_65	plaque
ASV_813	All
ASV_813	feces
ASV_844	plaque
ASV_89	saliva
ASV_955	All
ASV_955	plaque
ASV_955	saliva
ASV_102	All
ASV_102	feces
ASV_106	All
ASV_106	plaque
ASV_111	saliva
ASV_528	feces
ASV_754	All
ASV_754	feces
ASV_91	All
ASV_91	plaque
ASV_1030	All
ASV_1030	plaque
ASV_1030	saliva
ASV_1068	saliva
ASV_1205	saliva
ASV_160	plaque
ASV_164	All
ASV_164	plaque
ASV_165	All
ASV_165	plaque
ASV_165	saliva
ASV_288	feces
ASV_292	All
ASV_292	feces
ASV_387	feces
ASV_414	plaque
ASV_506	All
ASV_506	feces
ASV_129	All
ASV_129	feces
ASV_166	All
ASV_166	plaque
ASV_179	saliva
ASV_184	feces
ASV_471	saliva
ASV_543	All
ASV_543	feces
ASV_564	plaque
ASV_654	All
ASV_654	saliva
ASV_770	feces
ASV_1145	saliva
ASV_116	All
ASV_116	feces
ASV_136	plaque
ASV_237	All
ASV_237	feces
ASV_264	saliva
ASV_273	saliva
ASV_349	saliva
ASV_527	feces
ASV_577	plaque
ASV_577	saliva
ASV_656	All
ASV_656	plaque
ASV_656	saliva
ASV_660	saliva
ASV_691	saliva
ASV_71	All
ASV_71	plaque
ASV_79	All
ASV_79	saliva
ASV_828	All
ASV_828	feces
ASV_92	All
ASV_92	plaque
ASV_100	feces
ASV_107	plaque
ASV_115	feces
ASV_123	All
ASV_123	saliva
ASV_177	saliva
ASV_193	All
ASV_193	plaque
ASV_193	saliva
ASV_214	saliva
ASV_216	saliva
ASV_217	saliva
ASV_230	feces
ASV_248	plaque
ASV_289	All
ASV_289	feces
ASV_314	All
ASV_314	plaque
ASV_358	saliva
ASV_408	saliva
ASV_429	All
ASV_429	plaque
ASV_429	saliva
ASV_518	feces
ASV_529	feces
ASV_746	All
ASV_746	feces
ASV_843	plaque
ASV_93	plaque
ASV_1072	saliva
ASV_109	saliva
ASV_144	saliva
ASV_186	feces
ASV_195	plaque
ASV_227	All
ASV_227	feces
ASV_232	feces
ASV_241	plaque
ASV_417	saliva
ASV_752	All
ASV_752	feces
ASV_819	All
ASV_819	feces
ASV_151	All
ASV_151	feces
ASV_176	saliva
ASV_194	plaque
ASV_233	feces
ASV_234	All
ASV_234	feces
ASV_275	saliva
ASV_333	saliva
ASV_403	saliva
ASV_736	All
ASV_736	feces
ASV_821	All
ASV_821	feces
ASV_906	plaque
ASV_986	All
ASV_986	plaque
ASV_996	All
ASV_996	plaque
ASV_104	plaque
ASV_1101	saliva
ASV_152	All
ASV_152	feces
ASV_168	saliva
ASV_191	plaque
ASV_203	plaque
ASV_245	All
ASV_245	plaque
ASV_245	saliva
ASV_260	All
ASV_260	plaque
ASV_266	saliva
ASV_347	saliva
ASV_416	plaque
ASV_439	All
ASV_439	plaque
ASV_455	All
ASV_455	plaque
ASV_464	saliva
ASV_503	All
ASV_503	feces
ASV_794	All
ASV_794	feces
ASV_83	plaque
ASV_88	All
ASV_88	plaque
ASV_901	plaque
ASV_1090	saliva
ASV_1107	saliva
ASV_120	plaque
ASV_157	All
ASV_157	plaque
ASV_162	All
ASV_162	plaque
ASV_171	saliva
ASV_204	plaque
ASV_204	saliva
ASV_215	saliva
ASV_220	saliva
ASV_267	All
ASV_267	plaque
ASV_267	saliva
ASV_402	plaque
ASV_519	feces
ASV_544	All
ASV_544	feces
ASV_650	saliva
ASV_668	saliva
ASV_672	saliva
ASV_674	saliva
ASV_678	saliva
ASV_724	saliva
ASV_743	All
ASV_743	feces
ASV_898	All
ASV_898	plaque
ASV_898	saliva
ASV_1129	saliva
ASV_150	saliva
ASV_167	plaque
ASV_175	saliva
ASV_182	All
ASV_182	feces
ASV_210	saliva
ASV_224	All
ASV_224	feces
ASV_350	saliva
ASV_373	All
ASV_373	feces
ASV_421	plaque
ASV_449	plaque
ASV_509	All
ASV_509	feces
ASV_584	plaque
ASV_594	All
ASV_594	plaque
ASV_687	saliva
ASV_74	saliva
ASV_782	feces
ASV_991	All
ASV_991	plaque
ASV_113	saliva
ASV_119	plaque
ASV_122	saliva
ASV_158	plaque
ASV_170	saliva
ASV_178	saliva
ASV_188	All
ASV_188	feces
ASV_192	plaque
ASV_198	plaque
ASV_212	saliva
ASV_343	saliva
ASV_345	saliva
ASV_359	saliva
ASV_377	feces
ASV_590	All
ASV_590	plaque
ASV_600	plaque
ASV_608	All
ASV_608	plaque
ASV_705	saliva
ASV_791	feces
ASV_803	All
ASV_803	feces
ASV_1055	saliva
ASV_127	saliva
ASV_141	saliva
ASV_197	saliva
ASV_221	saliva
ASV_283	saliva
ASV_293	All
ASV_293	feces
ASV_342	saliva
ASV_363	saliva
ASV_368	All
ASV_368	feces
ASV_372	All
ASV_372	feces
ASV_388	feces
ASV_398	All
ASV_398	feces
ASV_400	All
ASV_400	feces
ASV_448	plaque
ASV_497	All
ASV_497	feces
ASV_778	feces
ASV_787	feces
ASV_815	All
ASV_815	feces
ASV_1028	plaque
ASV_1028	saliva
ASV_1080	plaque
ASV_1080	saliva
