Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
feces1	0.177	0.0996	63.9	0.945	0.841	23.7	32.6	327.0	63.0	0.313	0.0554	3.48	5.03	1.51
feces2	0.055	0.153	72.7	0.974	0.916	43.3	50.2	327.0	72.0	0.233	0.026	3.92	5.65	1.70
feces3	0.0367	0.268	113.5	0.986	0.946	77.7	87.6	327.0	113.0	0.298	0.0143	4.47	6.45	1.94
feces4	0.135	0.083	50.0	0.945	0.848	21.6	27.1	327.0	49.0	0.260	0.0549	3.30	4.76	1.43
feces5	0.0612	0.161	73.4	0.976	0.926	46.0	52.5	327.0	72.0	0.233	0.0243	3.96	5.71	1.72
feces6	0.165	0.0714	49.7	0.931	0.838	17.9	23.3	327.0	43.0	0.250	0.0695	3.15	4.54	1.37
plaque1	0.101	0.295	144.7	0.981	0.922	72.2	96.3	327.0	142.0	0.503	0.0193	4.57	6.59	1.98
plaque2	0.135	0.110	82.5	0.948	0.826	25.2	35.8	327.0	76.0	0.468	0.0517	3.58	5.16	1.55
plaque3	0.0917	0.186	120.3	0.970	0.870	43.9	60.7	327.0	112.0	0.575	0.0296	4.11	5.92	1.78
plaque4	0.269	0.0837	77.5	0.907	0.771	16.1	27.4	327.0	73.0	0.486	0.0926	3.31	4.77	1.44
plaque5	0.125	0.251	140.3	0.972	0.896	54.8	82.1	327.0	137.0	0.522	0.0277	4.41	6.36	1.91
plaque6	0.0581	0.309	146.9	0.985	0.930	83.0	101.1	327.0	143.0	0.542	0.0146	4.62	6.66	2.00
saliva1	0.055	0.336	158.6	0.986	0.932	88.9	109.8	327.0	155.0	0.571	0.0139	4.70	6.78	2.04
saliva2	0.128	0.194	124.8	0.967	0.867	43.1	63.3	327.0	120.0	0.587	0.0326	4.15	5.98	1.80
saliva3	0.0489	0.325	151.5	0.986	0.932	86.9	106.3	327.0	149.0	0.533	0.014	4.67	6.73	2.03
saliva4	0.0306	0.301	138.6	0.987	0.937	85.2	98.3	327.0	134.0	0.519	0.0133	4.59	6.62	1.99
saliva5	0.0642	0.269	141.9	0.981	0.909	67.3	88.1	327.0	138.0	0.561	0.019	4.48	6.46	1.94
saliva6	0.0765	0.293	139.1	0.983	0.928	76.5	96.0	327.0	137.0	0.478	0.0166	4.56	6.58	1.98
