#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_657	976	1621	620	1074	803	885	1186	1491	1171	870	1133	963	1895	2010	1414	1661	1191	1247
ASV_2	1812	1056	1850	1794	2251	1508	595	464	1063	1188	848	598	1063	1203	700	908	1210	972
ASV_3	514	374	701	719	951	696	564	418	904	949	754	633	847	1415	875	984	944	620
ASV_12	223	217	1431	533	1127	400	306	1756	1315	914	505	309	889	933	630	332	833	1184
ASV_4	1302	340	429	617	1021	404	482	532	382	584	611	410	916	1142	447	474	887	767
ASV_6	813	579	635	714	1146	838	239	244	322	350	369	341	435	428	382	454	417	416
ASV_8	462	420	467	327	153	270	311	491	1391	724	457	490	512	607	454	873	378	432
ASV_18	396	862	241	340	245	390	393	363	274	472	607	391	605	461	660	321	557	360
ASV_9	318	657	283	369	206	462	276	405	563	363	501	381	462	259	366	338	592	434
ASV_10	343	315	545	590	789	536	187	160	245	258	376	271	274	449	209	214	431	224
ASV_11	281	286	239	265	433	312	443	342	211	374	317	180	332	399	418	335	277	317
ASV_13	154	151	297	295	422	316	165	469	418	276	438	181	309	219	353	238	465	420
ASV_15	296	361	351	265	296	315	353	280	251	233	376	348	236	217	248	305	296	308
ASV_14	271	258	259	294	347	278	229	161	272	277	320	231	281	426	348	398	242	268
ASV_16	213	203	392	212	109	183	148	216	527	263	205	175	353	226	200	259	666	284
ASV_17	396	243	281	340	352	491	124	107	170	205	211	175	272	255	223	252	215	220
ASV_28	242	260	46	350	98	146	152	255	135	238	226	170	316	369	201	264	359	215
ASV_20	178	363	70	210	124	129	67	103	42	172	107	102	200	235	94	115	1271	96
ASV_33	193	147	116	116	70	154	249	162	168	165	221	253	171	169	272	212	207	250
ASV_25	106	112	868	47	25	54	241	134	60	166	148	113	116	23	240	199	167	300
ASV_21	132	314	161	97	73	118	154	176	133	141	178	149	184	263	162	241	294	180
ASV_22	181	171	235	211	170	179	239	138	132	158	166	210	129	134	193	128	137	157
ASV_31	164	141	132	218	45	214	162	178	208	178	194	131	214	146	180	148	214	121
ASV_24	164	131	396	374	264	222	99	60	138	87	123	150	88	182	100	186	97	92
ASV_23	111	365	407	66	150	238	73	74	65	120	156	67	123	182	102	420	120	92
ASV_26	153	155	94	313	54	28	206	249	277	83	170	123	296	56	135	71	8	510
ASV_29	106	89	273	152	304	193	103	168	81	110	160	63	144	191	100	150	267	163
ASV_27	176	213	160	95	112	177	244	145	126	125	174	205	132	139	194	152	96	193
ASV_30	162	103	137	154	157	233	121	103	189	261	126	93	149	155	167	143	114	137
ASV_32	170	125	118	117	94	129	206	138	127	153	167	186	166	180	197	131	117	187
ASV_34	85	196	74	166	13	52	152	107	123	166	163	95	238	278	196	193	211	123
ASV_36	177	55	77	194	159	298	60	34	256	169	90	84	194	262	100	123	124	88
ASV_37	122	82	112	43	114	93	173	124	103	120	163	176	122	173	247	171	190	197
ASV_47	158	137	146	154	162	205	119	95	115	127	128	109	108	103	115	180	127	133
ASV_39	194	129	154	191	294	188	78	110	97	119	94	86	97	141	98	130	118	113
ASV_43	131	101	33	47	30	86	503	182	265	273	127	529	42	15	60	41	24	60
ASV_38	100	46	69	185	107	169	42	32	183	129	93	131	174	489	54	97	122	76
ASV_41	216	130	132	260	240	304	55	40	76	57	94	92	86	106	64	110	116	95
ASV_55	63	54	87	105	155	78	137	89	130	167	131	105	116	216	204	197	159	106
ASV_42	91	237	218	99	141	101	83	105	85	94	138	92	120	158	131	137	43	126
ASV_71	81	70	230	121	280	117	63	147	30	125	141	92	92	78	72	128	209	104
ASV_46	105	99	64	125	51	90	179	97	140	135	171	100	102	160	147	162	109	134
