Class	KO	KO	KO	KO	KO	KO	OE	OE	OE	OE	OE	OE	WT	WT	WT	WT	WT	WT
Bacteria	65.7642571401991	64.6558458467147	71.8546637744035	72.5716114578333	74.9772864930345	69.0036900369004	57.7515781656146	61.5933752141633	66.9131744727472	66.0725652450668	63.9900735619959	58.7586339217191	68.7715072264281	72.292913120418	64.179505553565	66.808105299619	72.8108288770053	67.2219836839845
Bacteria|Actinobacteria	15.2944459949763	25.1280270809826	18.244499535172	19.4111057769243	10.2513628104179	13.9550486413955	15.8373561084293	19.4269940986103	22.2496119784534	18.1413112667091	19.1349818310733	15.8000767459708	22.1782518926359	18.1258953400185	19.1956288068793	22.0644267405611	24.2145721925134	19.6565049377415
Bacteria|Bacteroidetes	1.5908456600614	1.15441367936811	6.74775333126743	2.12834053448552	3.90672319806178	1.61019792016102	1.79168213887857	7.15781458214354	6.18095498950059	4.75584250250068	2.14481964016662	1.48695318495779	3.51858224363386	4.12909749726131	3.00071658903619	1.72324211984759	3.53442513368984	4.3623872906827
Bacteria|Chloroflexi	0.576797841659689	0.529467928131239	0.232414006817478	0.440070411265803	0.567837674136887	0.276752767527675	0.445599702933531	1.14220445459737	0.22824796859308	0.691097572065109	0.94832934503235	0.613967766692249	2.72711631108052	0.210668239656189	0.618058043711931	0.545549012816072	1.12800802139037	0.893087161872048
Bacteria|Firmicutes	1.0884733463578	0.920059022654284	0.472575147195538	2.36037766042567	0.174136886735312	1.01476014760148	2.40438173041218	1.25642490005711	1.72555464256368	1.80958443211785	0.868563325356731	2.53261703760553	0.292498279421886	0.24437515800118	0.591185954854891	0.458953931416696	0.225601604278075	0.566766852726492
Bacteria|Proteobacteria	47.2136942971439	36.9238781355785	46.157421753951	48.231717074732	60.0772259236826	52.1469305602147	37.272558484961	32.609937178755	36.5288048936364	40.6747294716741	40.8933794203669	38.3250191864927	40.0550584996559	49.5828768854807	40.7739161590828	42.0159334949775	43.7082219251337	41.7432374409618
Bacteria|Actinobacteria|Actinobacteria	15.1176853660806	24.9891502473744	18.1747753331267	19.3871019363098	10.1529376135675	13.8208654813821	15.5681396212403	19.2747001713307	22.1035332785538	18.0230972083295	18.966586900647	15.4930928626247	22.1352374397798	18.1006151512598	19.1150125403081	22.0038101835816	24.1226604278075	19.553456419064
Bacteria|Actinobacteria|Thermoleophilia	0.176760628895711	0.138876833608194	0.0697242020452433	0.0240038406144983	0.0984251968503937	0.134183160013418	0.269216487189009	0.15229392727965	0.146078699899571	0.118214058379558	0.168394930426305	0.306983883346124	0.0430144528561597	0.0252801887587427	0.0806162665711215	0.0606165569795636	0.0919117647058823	0.103048518677544
Bacteria|Bacteroidetes|Chitinophagia	0.0930319099451112	0.0607586147035848	0.0542299349240781	0.0480076812289966	0.0227135069654755	0.0419322375041932	0.306349795766803	0.180849038644584	0.365196749748927	0.290988451395835	0.194983603651511	0.134305448963929	0.258086717136958	0.337069183449903	0.250806162665711	0.277104260478005	0.158756684491979	0.077286389008158
Bacteria|Bacteroidetes|Cytophagia	0.120941482928645	0.0173596042010242	0.0232414006817478	0.0480076812289966	0.0227135069654755	0	0.297066468622354	0.180849038644584	0.136948781155848	0.154587614804037	0.141806257201099	0.0959324635456638	0.0774260151410874	0.143254402966209	0.179147259046937	0.199168687218566	0.0668449197860962	0.137398024903392
Bacteria|Bacteroidetes|Flavobacteriia	1.37687226718765	1.0762954604635	6.67028199566161	2.03232517202752	3.86129618413083	1.56826568265683	1.18826587448942	6.79611650485437	5.67880945859582	4.31026643630081	1.80802977931401	1.2567152724482	3.18306951135582	3.6487739108452	2.57076316732354	1.24696917215102	3.30882352941176	4.14770287677115
Bacteria|Chloroflexi|Chloroflexia	0.576797841659689	0.529467928131239	0.232414006817478	0.440070411265803	0.567837674136887	0.276752767527675	0.445599702933531	1.14220445459737	0.22824796859308	0.691097572065109	0.94832934503235	0.613967766692249	2.72711631108052	0.210668239656189	0.618058043711931	0.545549012816072	1.12800802139037	0.893087161872048
Bacteria|Firmicutes|Bacilli	1.0884733463578	0.920059022654284	0.472575147195538	2.36037766042567	0.174136886735312	1.01476014760148	2.40438173041218	1.25642490005711	1.72555464256368	1.80958443211785	0.868563325356731	2.53261703760553	0.292498279421886	0.24437515800118	0.591185954854891	0.458953931416696	0.225601604278075	0.566766852726492
Bacteria|Proteobacteria|Alphaproteobacteria	10.6428504977207	11.2143043138616	15.3005887821506	13.8662185949752	16.1417322834646	14.550486413955	11.3627924248051	10.1465829050067	7.77869076965215	9.54805856142584	11.6281130904901	11.0514198004605	8.74913971094288	10.2469031768771	9.96058760300967	9.9584343609283	11.1129679144385	10.0815800772864
Bacteria|Proteobacteria|Betaproteobacteria	31.1284770676342	21.0571998958424	26.2860241710567	30.2928468554969	39.5366444579043	31.4659510231466	19.0308206461196	16.5619645916619	23.5095407650872	24.5703373647358	22.316759727023	19.6181887950883	26.18719889883	33.765905452094	24.1400931565747	25.7880152407343	26.4705882352941	24.5856590811507
Bacteria|Proteobacteria|Deltaproteobacteria	1.06986696436878	1.09365506466453	1.10784009916331	0.66410625700112	0.726832222895215	1.7359946326736	1.36464909023394	0.742432895488292	1.08646033050306	1.31854142038738	0.983780909332624	1.30468150422103	1.41947694425327	0.884806606555996	1.11967036904335	0.969864911673017	0.977606951871658	1.25375697724345
